Classe (0),Précision,Recall
Fan,"99,45%","79,25%"
Toyconveyor,"96,75%","34,58%"
Valve,"52,79%","54,55%"
Toycar,"96,98%","44,23%"
Slider,"93,26%","64,59%"
Pump,"96,08%","50,50%"
